"","2.5%","97.5%","species","meanocc","phylum"
"23",0.000349969041133507,0.889954104256205,"Macaca assamensis",0.196538307410216,"Mammalia"
"24",2.93445229647721e-05,0.736563691757351,"Chimarrogale himalayica",0.103741773290533,"Mammalia"
"25",4.73476835044123e-09,0.106737905900203,"Niviventer andersoni",0.0118313150778624,"Mammalia"
"26",0.000224292643092675,0.981665759772975,"Rattus andamanensis",0.314856258150004,"Mammalia"
"27",7.25291181011707e-06,0.231633955796148,"Parascaptor leucura",0.0310301546846751,"Mammalia"
"28",7.14126991501396e-07,0.90017058539071,"Callosciurus phayrei",0.0869376977668228,"Mammalia"
"29",6.93706925883662e-08,0.369455431982568,"Rusa unicolor",0.0333528770725914,"Mammalia"
"30",1.6735723684255e-05,0.924718354366789,"Callosciurus quinquestriatus",0.115358751505186,"Mammalia"
"31",3.39002481125654e-09,0.0960341362594257,"Priapomys leonardi",0.0107097156311178,"Mammalia"
"32",8.40019548491649e-07,0.779125403621976,"Eonycteris spelaea",0.0722831385229926,"Mammalia"
"33",4.65115333612745e-09,0.120291122462395,"Miniopterus fuliginosus",0.0131831249093593,"Mammalia"
"34",1.2986124095389e-05,0.642687720356721,"Dremomys lokriah",0.0959296575289429,"Mammalia"
"35",4.1042038328911e-09,0.111804063984357,"Chodsigoa parca",0.0123898785896927,"Mammalia"
"36",2.36116918719922e-07,0.178487562085865,"Neotetracus sinensis",0.0209615037671339,"Mammalia"
"37",1.92226655334676e-06,0.369252339510173,"Pipistrellus tenuis",0.0444137946651646,"Mammalia"
"38",7.60753340150279e-05,0.943217338150968,"Crocidura attenuata",0.164753127917456,"Mammalia"
"39",2.12575866468557e-07,0.171784991716705,"Niviventer excelsior",0.0197885885207484,"Mammalia"
"40",0.00010477359364166,0.49822029823925,"Niviventer niviventer",0.0837584298006249,"Mammalia"
"41",0.0012352691475659,0.80208797955339,"Myotis muricola",0.191654856946977,"Mammalia"
"42",4.49907701089403e-09,0.116717614697762,"Oryctolagus cuniculus",0.0128260346597646,"Mammalia"
"43",2.56009465724609e-05,0.650364451855034,"Tupaia belangeri",0.100299665112866,"Mammalia"
"44",9.79822434874176e-07,0.53597392654977,"Hylopetes alboniger",0.059445229386219,"Mammalia"
"45",5.19350126422713e-07,0.346591398077346,"Sorex cylindricauda",0.0371026000437945,"Mammalia"
"46",0.00022689627224206,0.820510239088071,"Muntiacus vaginalis",0.134962199058369,"Mammalia"
"47",3.93540078540842e-09,0.118273969133025,"Rhinolophus affinis",0.0130611580700147,"Mammalia"
"48",2.24669608564757e-08,0.214976290733142,"Sphaerias blanfordi",0.0225819353162899,"Mammalia"
"49",0.000328309665543181,0.889291414792619,"Cuon alpinus",0.18938034704222,"Mammalia"
"50",6.57073646589518e-06,0.688745657128938,"Leopoldamys edwardsi",0.0956692130171027,"Mammalia"
"51",2.76025406109583e-09,0.0937102453010061,"Eupetaurus nivamons",0.0105829154092505,"Mammalia"
"52",0.00598037919371022,0.988362101926757,"Bos taurus",0.420138383201577,"Mammalia"
"53",3.31972604186995e-09,0.115241629696984,"Hylomys suillus",0.0126616565058891,"Mammalia"
"54",1.03361416144555e-07,0.192327473637732,"Rhinolophus yunnanensis",0.0212118811345345,"Mammalia"
"55",2.85101406210389e-09,0.107409984815581,"Melogale moschata",0.0118992366104096,"Mammalia"
"56",3.27979733859116e-07,0.568185561762121,"Tylonycteris robustula",0.0501612245762193,"Mammalia"
"57",0.011085154316359,0.9995573120249,"Nectogale elegans",0.603555175050887,"Mammalia"
"58",6.51207641687855e-07,0.188119762378683,"Rhizomys pruinosus",0.0227634321788563,"Mammalia"
"59",4.56243512564992e-09,0.114976605972543,"Rhinolophus pusillus",0.0127456611441992,"Mammalia"
"60",1.83482493083314e-05,0.689750361714603,"Suncus murinus",0.0782871449157713,"Mammalia"
"61",1.67151661479107e-05,0.420234450909744,"Ailurus styani",0.0449319968408697,"Mammalia"
"62",3.36223145336383e-09,0.132805937752223,"Rhinolophus ferrumequinum",0.0141467928925465,"Mammalia"
"63",0.00207810766498962,0.994605115762495,"Rattus nitidus",0.497999111919826,"Mammalia"
"64",3.1811354819714e-09,0.104630921451789,"Mustela kathiah",0.0115821446727807,"Mammalia"
"65",0.0421493567587108,0.975617812611805,"Sus scrofa",0.545366588043826,"Mammalia"
"66",1.0030233417445e-08,0.110677595915367,"Miniopterus pusillus",0.0123834440516033,"Mammalia"
"67",1.35825994476477e-05,0.33151199383268,"Chiromyscus langbianis",0.0433278322152342,"Mammalia"
"68",0.000224852114601611,0.817276843108494,"Tamiops swinhoei",0.120672090967965,"Mammalia"
"69",2.7389178935136e-05,0.974049014782938,"Episoriculus leucops",0.181325909319972,"Mammalia"
"70",4.13414021835309e-09,0.0956565673837268,"Cynopterus brachyotis",0.0108612381165831,"Mammalia"
"71",4.88451211389134e-09,0.151394173538398,"Trachypithecus shortridgei",0.0159831187523836,"Mammalia"
"72",0.000180602721838172,0.690891883367346,"Felis catus",0.118378214450904,"Mammalia"
"73",1.72088852805095e-07,0.251444954619477,"Trachypithecus melamera",0.0271314276378027,"Mammalia"
"74",5.39832617227735e-09,0.154201061437706,"Mustela sibirica",0.0162832420608593,"Mammalia"
"75",5.035977714e-06,0.260134922202728,"Elaphodus cephalophus",0.0346689711691385,"Mammalia"
"76",3.57180818651152e-05,0.575633840888556,"Bos grunniens",0.0647236580388168,"Mammalia"
"77",0.000831942114124475,0.543680520663879,"Prionailurus bengalensis",0.123159434407636,"Mammalia"
"78",0.000128542341938608,0.744508435820597,"Paguma larvata",0.142939417559604,"Mammalia"
"79",8.67024909811397e-05,0.891328249660892,"Muntiacus gongshanensis",0.13082357715416,"Mammalia"
"80",0.00336474770739576,0.991898852184036,"Rattus tanezumi",0.5003909435538,"Mammalia"
"81",2.4985748850406e-05,0.757592216590362,"Budorcas taxicolor",0.0803006976144621,"Mammalia"
"82",2.46357161903681e-05,0.969412867098417,"Episoriculus caudatus",0.172690905603856,"Mammalia"
"83",0.000823845374564951,0.816015531561938,"Petaurista yunanensis",0.206197615768483,"Mammalia"
"84",2.87760954230053e-05,0.389334739121515,"Equus caballus",0.0514066320685018,"Mammalia"
"85",0.00104706498375985,0.970522064615227,"Bubalus bubalis",0.361663964549029,"Mammalia"
"86",5.50501063853569e-09,0.122071365288372,"Tadarida latouchei",0.0134376040394518,"Mammalia"
"87",0.000129811188264201,0.796615651351583,"Ovis aries",0.127879120612504,"Mammalia"
"88",0.00476368026429799,0.424415132883539,"Eothenomys cachinus",0.12844347278539,"Mammalia"
"89",1.58509798613371e-05,0.81668669587302,"Episoriculus macrurus",0.0970031338769558,"Mammalia"
"90",3.06815444370185e-09,0.127727469327378,"Scaptonyx fusicaudus",0.0137767367011692,"Mammalia"
"91",0.0171968153195029,0.869255221445305,"Canis lupus",0.338271142732418,"Mammalia"
"92",7.57084494566956e-05,0.508020466915785,"Apodemus ilex",0.0798624331114046,"Mammalia"
"93",0.00271717274328216,0.843522108623564,"Capra hircus",0.235367258007595,"Mammalia"
"94",3.49650274225086e-09,0.0994184991672076,"Rousettus leschenaultii",0.0110819663982763,"Mammalia"
"95",4.21636974325599e-05,0.97854918683064,"Paradoxurus hermaphroditus",0.162928043253295,"Mammalia"
"96",2.43227545745497e-07,0.219137756133468,"Berylmys bowersi",0.0248173948712845,"Mammalia"
