site	longitude	latitude	Percent_of_forest_cover_1km	Percent_of_forest_cover_2km	Human_modification_1km	Human_modification_2km	Patch_density_1km	Patch_density_2km	Edge_density_1km	Edge_density_2km		reservoir
GLG42	98.67361	25.03284	25.03284	34.45762712	42.08974359	0.328900635	0.467218769	49.35529644	34.8200313	134.092171	112.2065728	no
GLG43	98.47917	25.33417	25.33417	26.4137931	29.3034188	0.669923484	0.64463867	43.34993544	40.79842758	125.3458771	124.533089	no
GLG44	98.36669	25.10422	25.10422	52.39285714	58.83829787	0.483656496	0.403512796	26.73303835	19.66360353	84.34734513	59.34334532	no
GLG45	98.29067	25.29553	25.29553	26.43103448	35.82478632	0.552774191	0.518000297	40.83387062	35.80185982	109.3303859	105.8544267	no
GLG46	98.22678	25.42025	25.42025	52.4137931	52.24680851	0.363406599	0.326575117	27.76235425	20.26033355	98.74143994	73.52388998	yes
GLG47	98.17664	25.11187	25.11187	47.66666667	54.45493562	0.41029948	0.346788237	20.90635184	16.44582276	83.37945029	62.3531623	yes
GLG50	98.12822	25.15589	25.15589	37.25	44.87068966	0.636233807	0.413178317	32.39840785	28.16504718	97.19522355	87.35858799	no
GLG52	97.92778	25.15556	25.15556	69.6779661	70.05982906	0.155287221	0.154102787	15.05653884	13.78219434	63.14528024	48.13587991	no
GLG53	97.8625	25.10139	25.10139	76.03333333	77.23504274	0.27482596	0.241859737	12.29785402	11.27236861	36.52462645	34.02846273	yes
GLG54	97.75806	25.08889	25.08889	56.47540984	52.93589744	0.168095112	0.193768144	22.2160511	17.75712632	69.61029344	63.36243312	yes
GLG55	97.82444	24.97111	24.97111	58.62068966	68.88793103	0.321277589	0.272671333	20.98765432	15.64504521	78.88888889	58.78625739	yes
GLG56	97.94083	24.98583	24.98583	33.64285714	52.29613734	0.469081849	0.304050409	18.21493625	14.7063425	85.67194591	59.46681686	no
GLG57	97.92944	24.82861	24.82861	16.46666667	36.11965812	0.326721847	0.258138823	38.7275242	27.32753896	152.7893038	132.3702138	no
GLG58	97.57028	24.74194	24.74194	45.54237288	47.41452991	0.417218864	0.431446208	9.287638154	10.54481547	17.0892542	28.65846514	no
GLG59	97.58194	24.71361	24.71361	52.3220339	56.03862661	0.333462328	0.273852192	7.436326455	12.04583676	17.28945901	30.9750088	no
GLG60	97.59139	24.66472	24.66472	57.57894737	50.83050847	0.161018193	0.241537075	10.48800049	11.02975688	31.3714603	35.69417066	no
GLG61	97.60556	24.60556	24.60556	61.70491803	69.73819742	0.382428557	0.22216593	18.43148097	11.98702581	63.77292415	37.04226014	no
GLG62	97.56814	24.69969	24.69969	47.69642857	47.9279661	0.237749517	0.212578536	18.13431689	14.33237001	40.20285846	37.1231879	no
GLG63	97.58806	24.68056	24.68056	34.57627119	46.37446809	0.370081306	0.3134988	14.21332345	9.222136253	47.64553207	27.97120818	no
GLG64	97.978583	25.15494	25.15494	39.38983051	56.47234043	0.248573169	0.229977293	31.15553088	18.38422243	109.9389228	70.17296815	no
GLG66	98.02075	25.23647	25.23647	52.18032787	51.69787234	0.189174175	0.183922844	10.7546706	10.73045413	45.90707965	49.76737629	no
GLG67	98.09361	25.27361	25.27361	69.48275862	74.22978723	0.246763855	0.205522721	17.27915085	8.057765574	40.63686013	22.13147457	no
GLG68	98.12472	24.96611	24.96611	40.9	52.55128205	0.35088253	0.272497052	34.7510533	23.4140688	113.848141	82.43474992	no
