"","2.5%","97.5%","species","meanocc","phylum"
"58",1.13505613471876e-09,0.0733595993550849,"Myzornis pyrrhoura",0.00836156398280181,"Aves"
"59",2.46536426568354e-09,0.115335543754355,"Terpsiphone paradisi",0.0129965857073725,"Aves"
"60",1.05023117051318e-08,0.123233040722504,"Chalcophaps indica",0.0143378068182902,"Aves"
"61",1.53677175839236e-05,0.24622902816968,"Lophophorus sclateri",0.0402616272231326,"Aves"
"62",0.281715963967752,0.76479926327868,"Gallus gallus",0.512868834925028,"Aves"
"63",6.4506805676064e-10,0.0769167940505296,"Aethopyga nipalensis",0.00859436829359484,"Aves"
"64",3.01034316877847e-09,0.0925981525146589,"Pteruthius melanotis",0.0106701980466846,"Aves"
"65",0.00153835489122695,0.871338145100939,"Anas platyrhynchos",0.21920264674435,"Aves"
"66",8.04291960796653e-10,0.100592187871711,"Egretta garzetta",0.0111602179703457,"Aves"
"67",1.02880471556724e-09,0.0785470774459808,"Dicrurus macrocercus",0.00898165885463009,"Aves"
"68",8.02942009182857e-06,0.944172603787652,"Liocichla phoenicea",0.155349374618624,"Aves"
"69",6.08534572031392e-10,0.0896023907899223,"Rhipidura albicollis",0.0100440582727239,"Aves"
"70",1.03478161591565e-09,0.0921756989797625,"Otus lettia",0.0103685566923857,"Aves"
"71",8.24172923005823e-10,0.0923224477193117,"Dicaeum concolor",0.0103465466509849,"Aves"
"72",6.88256163848939e-09,0.106607398631207,"Corvus corone",0.0123615753499136,"Aves"
"73",9.89726098374672e-06,0.963443383482251,"Heterophasia pulchella",0.174848665539923,"Aves"
"74",1.77810925212905e-05,0.223418925838016,"Seicercus valentini",0.0386979232844537,"Aves"
"75",5.20915139975919e-10,0.0720981196405064,"Garrulax cineraceus",0.00822739619250949,"Aves"
"76",2.78260248655328e-09,0.106541615478551,"Delichon urbicum",0.0121115975427696,"Aves"
"77",1.48452791348634e-05,0.965175491671129,"Trochalopteron erythrocephalus",0.18489264575798,"Aves"
"78",8.80550140823076e-10,0.102204722746275,"Emberiza tristrami",0.0113617017309947,"Aves"
"79",7.30938546880616e-08,0.159345248701094,"Jabouilleia danjoui",0.0190641678587463,"Aves"
"80",0.000208339688502446,0.920789935395795,"Mergus merganser",0.194926091224626,"Aves"
"81",7.87693245562458e-10,0.083188701284156,"Procarduelis nipalensis",0.00932535404181773,"Aves"
"82",1.51830505330868e-09,0.105385792855795,"Emberiza fucata",0.0118323379903221,"Aves"
"83",9.15312656652564e-10,0.0861306198706803,"Dendrocitta formosae",0.00962297016429989,"Aves"
"84",1.41509041530384e-09,0.116913923630859,"Accipiter nisus",0.0130096826034831,"Aves"
"85",6.33009733127155e-10,0.0924757842607664,"Eumyias thalassinus",0.0102547479820651,"Aves"
"86",6.97021035433256e-10,0.0638196832290935,"Niltava grandis",0.00728752345248879,"Aves"
"87",1.57962700455181e-09,0.0802052733474875,"Cyornis rubeculoides",0.00921730085756623,"Aves"
"88",7.98287674621184e-10,0.0742336138459455,"Anas crecca",0.00841542307258944,"Aves"
"89",1.1833953782479e-09,0.106619983863011,"Tarsiger cyanurus",0.0119139815341595,"Aves"
