"","(Intercept)","scale(annual_precipitation)","scale(mean_temperature)","scale(Percent_of_forest_cover_1km)","scale(Human_modification_1km)","scale(Patch_density_1km)","scale(Edge_density_1km)","riverOriginoutsideGLGS","Regional_DivisionNorthwest","Regional_DivisionSouthwest","riverdy","riverlc","rivernu"
"17",1,0.215585136707761,0.758967550933307,-1.65320385969081,1.05805263361507,-0.0508547240471636,-0.636460316941044,1,0,1,0,1,0
"18",1,-0.656239877333855,1.03908289704298,-0.693553080318262,1.13820379000501,-0.724112714599312,-0.0378267639306896,1,0,1,0,1,0
"19",1,-0.387158082876566,1.12740756786787,-1.63909247826819,1.3771077267552,-0.275273240974157,-0.669111975299638,1,0,1,0,1,0
"20",1,-0.274143729204505,1.10721911499914,-0.524204208425324,0.726373096549378,1.06820693504464,1.13767490119638,1,0,1,0,1,0
"21",1,0.0541360600333878,1.14002540205227,-2.00319439706124,2.34281135433711,-1.62179140044557,-1.48543141040961,1,0,1,0,1,0
"22",1,-0.946848215347727,0.201260334097958,0.613266574881267,0.732979835804242,-0.275273240974157,0.223396993992483,1,0,1,0,1,0
"23",1,-0.602423518442397,0.493993466258908,-0.9504011234065,1.28189108221703,0.621471491755667,1.22474715582535,1,0,1,0,1,0
"24",1,-1.19978510213758,0.0750821847863837,-0.0133297837922952,1.28674133095514,0.855475771573702,2.24788024364254,1,0,1,0,0,1
"25",1,-1.56573634259949,-0.611326680811046,0.703584333914628,0.124045434602886,0.855475771573702,0.506386192809294,1,0,1,0,0,1
"26",1,-1.76485687049789,-0.628991562029578,-0.673795302103368,0.63904739279191,-0.275273240974157,-0.00517160855395648,0,0,1,0,0,1
"27",1,-1.79714668583276,-0.661797969415524,0.940674598787972,0.513614866071243,-0.724112714599312,-0.865028919487484,0,0,1,0,0,1
"28",1,-0.693911328557875,-0.0460487490250942,-1.19878110815901,0.478952038109176,-0.275273240974157,-0.0922473602010603,1,0,1,0,1,0
"29",1,-0.667003149112147,-0.591138215909012,-1.93827681721805,0.372119207041762,-0.94853131866099,-1.19155634382966,1,0,1,0,1,0
"30",1,-0.806925682229937,0.31734424494188,0.624556294760437,1.66139916619364,1.06820693504464,0.375776062356777,1,0,1,0,1,0
"31",1,-1.69489560393899,-0.512907795585047,0.76285766855931,0.842550881695358,-0.0508547240471636,0.114555801451742,1,0,1,0,0,1
